Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,BIH,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14407747,13.01867444,17.84628312,16.63570637,15.31286227,12.90669537,9.488669892,12.22972244,12.88769233,12.56236358,10.15323453,9.031722481,7.72378477,6.291587943,7.435503546,7.511538582,
Belarus,BLR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041095291,0.748692433,0.752903743,0.888588458,1.333497986,0.982615569,0.734981878,0.531079852,0.492824612,0.655546861,0.510042429,0.595082478,0.704695812,0.592903606,0.613133301,0.913369023,0.863071971,0.925355771,1.23519574,1.230483843,1.086463436,
Belize,BLZ,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,0.019283128,0.007307321,0.012262412,0.001442711,0.010599525,0.006665011,,0.023171499,,,,,,,0.015007811,,,0.013698047,0.007506575,0.157745566,0.162186306,0.195023093,0.131671377,0.126145702,2.393767041,0.01267306,0.06244249,0.002763175,0.000966604,0.015801491,0.021352621,0.000300496,0.00201299,0.004894295,0.000451815,0.000159907,0.000244937,0.000721136,0.010610007,0.197689503,0.122952146,0.18681422,0.312458064,0.554577455,
Bermuda,BMU,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,0.119763421,0.260989325,0.349196228,0.421869256,,0.177737664,0.103770528,1.21432E-05,3.1959E-05,0.05880122,0.000336926,,0.95033222,0.36123833,0.279685394,,,,0.000979691,0.000296021,,,0.009055996,,,,,,,,,,,,,,,,,,,0.003813303,0.396888618,0.032794416,0.033204097,0.030706752,0.049004649,0.025894247,
Bolivia,BOL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,88.79389425,87.5701628,91.01721635,92.00006874,84.58513485,76.34978821,81.39313328,84.14270044,88.01982511,78.06957798,72.4515282,69.84435989,58.00578168,56.40957638,57.86095204,65.89822964,71.37346167,70.42935104,62.09452858,56.48318689,46.541129,42.3997544,46.34530645,39.03059633,30.83354171,36.35242177,45.70417085,49.12948176,44.08630703,39.64502116,49.19962604,41.87682809,31.66766733,35.37336348,32.32432893,32.83010029,26.1919351,23.23835642,24.58469974,19.53750762,19.82243905,18.50128595,18.85157483,16.86183043,22.72734383,26.85369406,26.54952206,33.30333938,33.3284775,35.52228678,24.57224739,21.46206076,22.19440827,26.48185163,36.5743789,39.57610148,36.31295783,
Brazil,BRA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,8.59181048,7.170385278,7.408143279,9.010429933,8.112691071,7.863511679,7.549031903,8.128264876,10.10523735,10.49554484,7.311214326,6.825008421,8.68284361,12.36344013,10.97720504,8.349881904,9.320541421,9.970643194,9.40982188,9.351226449,10.49935968,9.672485349,8.902977829,9.393035182,10.90217074,10.23431366,11.28704649,11.99322646,13.55863503,14.34870205,11.89099284,10.58550199,9.609809463,10.2806718,10.01889499,9.362940679,9.807394776,9.913571488,9.80978313,8.330623633,8.521171003,8.152042805,8.572596519,9.605449094,10.81494229,11.04919387,12.13209265,11.71333021,17.38437303,19.29956724,15.59426391,16.37720713,14.3932855,10.75757462,10.46510485,11.87130112,11.28754239,
Barbados,BRB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,0.722316468,0.634614403,0.544116304,0.336861188,0.629965699,0.343076083,0.530372769,0.826593163,0.278206985,0.413076314,0.27466419,0.210111804,0.294907792,0.231539087,0.176132097,0.09892117,0.112046072,0.185791676,0.06716785,0.478103686,0.209956126,0.148021267,0.075167263,0.085596314,0.260384093,0.474107734,0.437197554,0.337321258,0.368475907,0.500269886,0.489087061,0.263017648,0.33805718,0.226436985,0.134232547,0.267746857,0.248965014,0.906139296,1.048795403,1.505454384,2.353481617,2.705021699,1.613019341,1.203825035,1.062096696,0.835761922,0.995384006,1.256161312,0.998928784,0.70377974,0.750527496,1.444002992,
Brunei Darussalam,BRN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.000699816,0.002150687,0.003000991,0.050422965,0.056266759,0.070186812,0.056195817,0.072924751,0.074833496,0.078052977,0.073756782,0.023567379,0.054431733,0.011278994,0.013285534,0.005828047,0.029590903,0.034940376,0.004188668,0.00667998,0.012999318,0.014453323,0.022118056,0.020220937,0.033822155,0.023306008,0.061162144,0.057000234,0.044225599,0.014868546,0.0075437,,3.36444E-06,,,0.048573569,0.0851608,,,0.001238716,0,0.000749943,0.117649855,,0.115295307,0.091878189,0.085533758,0.084859275,0.125564921,0.090797486,0.106072433,0.094853476,0.109636733,0.1600732,0.319728711,0.257343655,0.000352938,
Bhutan,BTN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.317316067,3.148160198,1.759828965,3.498660046,,,,3.334984342,3.112314258,,,,,,8.370288784,11.68328702,14.88067737,1.301542728,10.2383235,21.93358742,21.40846084,11.50807706,,,,,,,
Botswana,BWA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.971098743,5.482175845,4.917528903,10.72442917,11.21714624,11.51719102,16.76733891,23.28340198,19.34987632,16.05201518,14.54278487,8.44058182,8.639200849,9.230648303,7.007347243,7.005432692,4.055646575,2.58813972,1.030511309,
Central African Republic,CAF,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.001764619,0.002111888,0.005985936,,6.50386E-05,,0.000529229,0.023570494,0.053791827,0.006422939,,0.009140811,,,0.004876604,0.157086192,0.130405159,,0.21848426,,,,,,,,,1.247247341,,,,41.3478365,41.50754678,30.29415166,25.62314145,35.63815706,0.836178899,1.300294347,7.567601593,20.23093824,21.76136501,36.5638935,36.82217389,17.77843753,15.7212486,26.60950346,35.76109549,61.99923936,58.66594709,62.1814437,58.39578696,45.97406782,0.293929466,0.012390126,2.22049242,3.75570114,,
Canada,CAN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,24.07158931,23.70589317,22.73751881,23.2273393,21.34568802,21.33692123,21.23638113,18.2640813,20.37035824,16.98505782,15.33088847,16.10313611,15.35347227,13.65803908,13.64836865,13.15877042,11.82179708,12.24093471,13.85680211,11.70296478,9.7210587,9.22092086,8.836934411,8.450445321,8.458094859,8.527816668,8.765629363,9.173176503,8.569746937,7.820515631,7.301415427,6.09557908,5.969878384,6.763137169,6.193732813,6.005531953,5.363519494,4.475472176,4.645853068,4.60768673,4.479451796,4.476725211,5.522320832,5.914647671,8.080190889,9.395077595,8.424442882,7.299975437,8.331665722,9.098672255,7.55444267,7.239531136,7.332952363,7.334819616,7.113214014,7.405720367,7.568717389,
Central Europe and the Baltics,CEB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.094729512,4.589985531,4.564542289,4.223863172,4.159277174,3.504208839,3.602021629,3.980380575,3.326204253,3.093217151,2.975602069,3.355513257,3.223684591,4.155210497,3.733841819,3.405537145,2.938579609,3.671123263,3.914100697,3.788403559,3.336491421,3.104646231,3.049736597,2.3693337,2.63585636,2.606492785,
Switzerland,CHE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,2.034637381,2.433919444,2.719116586,2.919838845,3.029869366,2.825415236,2.900197982,2.881871091,2.592095817,2.340523234,3.061918309,3.439694523,4.408463387,2.95867477,3.030248255,3.271698449,3.224917881,3.808312777,5.14769293,3.07207774,2.586760947,2.916184584,3.406753376,2.941284858,2.51898359,2.734303099,3.650335654,3.110214346,2.658966442,2.671489952,2.515259182,2.181768052,2.590958499,2.550554485,2.496526315,3.252935173,3.379606783,4.125507443,5.669488478,4.087476393,3.675858424,3.099072257,3.165445882,2.774515924,3.565883735,3.567988313,3.695037806,2.883184663,4.137726704,3.890700384,4.084764886,3.800654639,2.911542494,2.200249571,2.037799318,2.101328509,2.116713407,
Channel Islands,CHI,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,87.05513405,87.28195358,87.09781211,88.83545895,87.68683551,89.21236099,88.69323742,88.35946469,88.05487426,82.61765824,84.36867627,89.27106198,86.07749158,71.98689648,71.43980524,64.17092701,61.96356807,68.63619394,64.08079005,62.95032995,61.57234564,63.88333978,58.31012031,59.20828766,53.35661076,52.38452837,56.89795917,57.89433649,54.61492945,49.22573316,46.7871576,43.14087429,43.40334279,48.24725512,46.26165135,48.08963463,42.92563951,43.23896946,45.34842402,41.31067852,41.2292166,41.64271232,53.43984285,56.83678638,63.1161548,65.04733912,56.60723018,59.49377512,64.57534245,62.19547056,60.67577715,57.943276,55.54600774,53.16814074,51.18415783,54.62475475,53.53753528,
China,CHN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,2.204380131,1.521521021,1.434411479,3.087005572,3.464127781,2.538697325,2.081450139,1.665878273,1.6928007,1.669688049,1.887407805,2.09653001,1.81729042,2.111338219,2.050624139,2.015003864,1.904796141,1.810800455,1.624199655,1.638803543,1.948863349,1.855999642,2.220075506,1.882390232,1.742480416,1.204223961,1.412296363,1.496600392,1.284520616,1.223138961,1.29366507,1.20572261,1.16335917,1.160181338,,
Cote d'Ivoire,CIV,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,1.992653858,1.186892979,0.960835938,1.654406501,1.932769698,1.503953239,1.134933766,0.977171605,1.052589285,0.808515459,0.781445963,0.536900198,0.557262731,0.518260819,0.313584819,0.206250657,0.216449678,0.343926179,,0.281288247,0.198703948,0.186146096,,0.194251786,,,,,,,,,,0.159394187,0.130807369,0.159696287,0.130996528,0.128981524,0.170174683,0.215719978,0.164444056,0.157761728,0.233792979,0.213037599,0.160787895,0.381529276,0.645034017,0.422239035,0.318830823,0.199500945,0.250463015,0.406704005,0.447146381,0.283337971,0.20139641,0.5665981,,
Cameroon,CMR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,21.16691044,19.03073024,15.32734437,17.3867667,16.19848661,14.99903419,11.76486514,11.02481605,10.88935891,9.326271233,9.950982731,7.011957751,5.230431556,7.556622627,5.914916557,4.39206869,2.411447792,5.033619484,1.880141184,,1.774516953,,,,8.25634601,8.552115441,,11.43931372,6.878977394,,,,,8.365625644,6.365072233,5.739267573,,,5.591910067,5.374322415,4.324370575,4.158270936,5.061878038,4.748244773,4.905073214,4.932689798,10.08652057,5.423193303,2.961941129,5.211920498,1.595442371,1.798802511,3.211104936,3.553998574,5.936869198,4.529233177,,
"Congo, Dem. Rep.",COD,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,31.13204592,,,71.47422423,,,,,77.79431269,,72.04176084,74.52583652,80.11495724,70.67201564,56.31150474,59.14121918,51.78726053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.504811637,1.232473759,1.010576779,1.761646007,1.835271861,2.246259811,1.302675761,,0.121489933,2.386457034,1.404002891,1.706487131,0.278244915,1.698385815,1.373137057,5.835591135,0.19204766,0.4041588,0.239943672,,,0.085471531,0.109907819,0.110811637,0.104589904,,,,,,,0.055610423,1.087153362,0.325081843,,,,,,,,,,,,0.036483029,0.028464758,0.01867926,0.021008806,0.019389014,0.014124046,0.014842427,0.018217445,,,1.387378085,,
Colombia,COL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.258359128,0.365102308,0.302189408,0.230000291,0.139722151,0.478580041,0.948853732,0.936168845,0.68900705,0.46123927,0.379435477,0.428138776,0.331837947,0.220591263,0.222527624,0.144895764,0.162634441,0.204462643,0.234767589,0.20919918,0.126507938,0.135191242,0.353624172,0.414907632,0.333614824,0.191433366,0.268162116,0.092996196,0.167896963,0.278300746,0.255423337,0.42650373,0.885646812,0.611216318,0.569210707,0.536554495,0.633411645,0.680306095,0.663788414,0.810780709,0.833603778,1.060573457,1.307070112,1.381007702,2.468384049,2.405190444,2.053978365,1.653413928,1.643639687,1.245542002,1.148590649,1.139696875,0.997124204,1.304241144,1.223948235,1.301471605,1.219488893,
Comoros,COM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.051543873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000423405,1.109178421,,0.001891546,0.004234005,0.005245076,0.002088067,,0.665202493,0.149600348,,,0.51545933,0.042922379,0.816344936,0.971881053,0.183083449,0.013695886,,,,,,
Cabo Verde,CPV,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,18.13899272,24.48257017,10.21315737,,,,8.660477677,,,,,,,,,,,0.41520378,0.045554428,0,0.172889638,0,0,,0.041923266,0.014635779,0.092899291,0.024661506,0.252610585,0,,0.665352818,0.886651706,0.942327818,8.96489E-05,0.195295232,0.001327261,0.000752104,0.000624575,0.000450583,0.000187974,
